date,terminal,total
2025-01-22,Westridge,2
2025-01-26,Suncor,1
2025-01-27,Westridge,2
2025-01-28,Westridge,1
2025-01-29,Westridge,1
2025-01-30,Westridge,1
2025-01-31,Westridge,1
2025-02-01,Westridge,1
2025-02-02,Suncor,1
2025-02-03,Westridge,2
2025-02-06,Westridge,1
2025-02-08,Westridge,1
2025-02-09,Westridge,1
2025-02-10,Westridge,1
2025-02-11,Suncor,1
2025-02-11,Westridge,1
2025-02-12,Suncor,1
2025-02-13,Westridge,2
2025-02-14,Westridge,1
2025-02-16,Westridge,1
2025-02-18,Westridge,1
2025-02-19,Suncor,1
2025-02-20,Westridge,1
2025-02-22,Westridge,1
2025-02-23,Westridge,1
2025-02-24,Westridge,1
2025-02-25,Westridge,1
2025-02-27,Westridge,1
2025-02-27,Suncor,1
2025-02-28,Westridge,2
2025-03-01,Westridge,2
2025-03-02,Westridge,2
2025-03-04,Westridge,2
2025-03-05,Westridge,1
2025-03-07,Westridge,2
2025-03-08,Suncor,1
2025-03-09,Westridge,1
2025-03-10,Westridge,1
2025-03-10,Suncor,1
2025-03-13,Westridge,1
2025-03-14,Westridge,1
2025-03-15,Westridge,2
2025-03-16,Suncor,1
2025-03-16,Westridge,2
