ImoNumber,shipName,country,flag,gross_tonnage,ship_type,build_year
9607954,SEAWAYS REDWOOD,Marshall Islands,🇲🇭,62647,Crude Oil Tanker,2013
9470131,ADVANTAGE AWARD,Marshall Islands,🇲🇭,61336,Crude Oil Tanker,2011
